36.31,275.43,0.03
KICKSTARTER SYNTH,0.00031178974,10,0.003099301590457256
UMAMI,0.00031171014,152,0.04709735713717694
FINGERSTACHE MICRODOSING,0.00031160162,10,0.0030974316103379723
SLOW-CARB,0.00031158782,172,0.053273464254473164
SYNTH PITCHFORK TAXIDERMY,0.0003114623,9,0.0027864420477137176
GREEN JUICE MIXTAPE,0.0003114004,8,0.0024763451292246523
MAN BUN CHARTREUSE GODARD,0.0003109676,8,0.0024729033797216697
TRUFFAUT MIXTAPE,0.00031071826,8,0.00247092055666004
PLAID TAXIDERMY,0.00031064026,8,0.00247030027833002
HEIRLOOM TAXIDERMY,0.00031060338,8,0.0024700069980119286
BATCH,0.00031044486,174,0.053695234234592444
KEYTAR SQUID TAIYAKI AFFOGATO,0.00031043944,8,0.0024687033001988073
MICRODOSING,0.00031040164,229,0.07065802739562625
MAN BUN VICE COLORING BOOK CORNHOLE,0.0003100695,10,0.0030822017892644135
FORAGE HELVETICA MIXTAPE,0.00031004462,8,0.0024655635785288273
HOODIE BICYCLE RIGHTS VICE MEGGINGS PORTLAND,0.0003098524,10,0.0030800437375745524
AF KALE CHIPS SELFIES MIXTAPE,0.00030962506,8,0.0024622271172962226
TAXIDERMY,0.00030958655,202,0.06216350208747515
WOLF MOON PORK BELLY,0.00030953047,8,0.002461474910536779
LOKO MIXTAPE,0.00030943114,8,0.0024606850099403578
MAN BUN CHICHARRONES POLAROID MIXTAPE,0.00030940757,8,0.002460497574552684
VHS FORAGE CORNHOLE,0.00030930914,10,0.003074643538767396
LETTERPRESS PHOTO BOOTH MICRODOSING LISTICLE RACLETTE GODARD PORK BELLY,0.00030927893,8,0.002459474592445328
KICKSTARTER AFFOGATO TAXIDERMY,0.00030927025,8,0.0024594055666003977
VHS TAXIDERMY,0.00030926158,8,0.00245933662027833
UNICORN MEDITATION MICRODOSING,0.00030914458,10,0.003073007753479125
POLAROID OFFAL MASTER,0.00030905195,8,0.0024576695825049705
SYNTH PORK BELLY,0.00030885896,8,0.0024561348707753477
CORNHOLE TOFU PORK BELLY MASTER,0.0003085325,8,0.002453538767395626
KEYTAR UNICORN HAMMOCK SYNTH,0.00030851792,10,0.003066778528827038
CHARCOAL LETTERPRESS MASTER,0.00030841885,8,0.0024526349900596423
SYNTH,0.00030829431,203,0.062210482037773344
CRAFT BEER CORNHOLE,0.0003081052,18,0.005512816699801193
VINEGAR,0.00030808905,177,0.054206522713717696
SCHLITZ,0.00030766573,136,0.0415929813916501
LOCAVORE KALE CHIPS,0.00030758712,10,0.003057526043737575
SUCCULENTS,0.0003074153,182,0.05561588926441352
MARFA SUCCULENTS MUSTACHE SELVAGE,0.0003072009,10,0.0030536868787276344
GOCHUJANG,0.00030701762,135,0.04120017763419483
DRINKING VINEGAR UNICORN,0.00030695126,10,0.0030512053677932407
COLORING BOOK HEXAGON DISTILLERY SEMIOTICS UMAMI,0.00030664078,10,0.0030481190854870772
JEAN SHORTS BIODIESEL CLOUD BREAD,0.00030621045,10,0.003043841451292247
BIODIESEL KALE CHIPS,0.00030604182,10,0.0030421652087475144
JUICE KOMBUCHA LO-FI SYNTH,0.00030602852,10,0.0030420330019880716
GASTROPUB HOODIE,0.00030602832,10,0.0030420310139165005
INTELLIGENTSIA CORNHOLE,0.00030554755,8,0.0024298015904572565
BEARD CORNHOLE,0.00030547733,8,0.002429243180914513
KICKSTARTER SWAG KALE CHIPS,0.0003053567,10,0.0030353548707753473
CORNHOLE FAM,0.0003053182,10,0.003034972166998012
STUMPTOWN CLOUD BREAD UNICORN OFFAL,0.00030522753,9,0.002730663787276342
HOODIE,0.00030512785,170,0.051562360337972166
JEAN SHORTS OFFAL,0.00030512697,15,0.004549606908548708
FOOD TRUCK COPPER MUG OFFAL,0.00030511283,8,0.0024263445725646125
DRINKING VINEGAR SKATEBOARD LO-FI,0.00030508195,10,0.003032623757455269
JUICE,0.0003050346,183,0.0554884013916501
SWAG SRIRACHA,0.00030489406,10,0.00303075606361829
SELVAGE GOCHUJANG IRONY CLOUD BREAD,0.00030474635,10,0.0030292877733598413
FOOD TRUCK CRUCIFIX SEMIOTICS,0.00030452354,8,0.002421658369781312
BEARD MICRODOSING POP,0.00030443407,10,0.003026183598409543
PINTEREST,0.00030440846,219,0.066267845666004
OFFAL,0.00030432447,208,0.06292195801192843
BATCH TYPEWRITER INTELLIGENTSIA,0.0003042859,10,0.003024710735586481
KICKSTARTER BANH MI,0.00030420857,18,0.005443095685884692
HELVETICA KALE CHIPS KOGI PUG,0.00030391914,10,0.003021065009940358
TAXIDERMY LEGGINGS,0.0003036602,10,0.003018491053677932
SELVAGE PINTEREST,0.00030357303,21,0.006337011560636183
ADAPTOGEN OFFAL,0.00030354774,8,0.002413898528827038
FOOD TRUCK MAN BUN SYNTH,0.0003035209,8,0.0024136850894632207
